IDMesa,Freguesia,Partido,Votos Assembleia
88,Uniao de Freguesias de Azeitao,Partido A,47
88,Uniao de Freguesias de Azeitao,Partido F,77
88,Uniao de Freguesias de Azeitao,Partido E,6
89,Uniao de Freguesias de Setubal,Partido A,187
89,Uniao de Freguesias de Setubal,Partido E,37
89,Uniao de Freguesias de Setubal,Partido C,238
89,Uniao de Freguesias de Setubal,Partido G,25
89,Uniao de Freguesias de Setubal,Partido F,139
90,Uniao de Freguesias de Setubal,Partido A,151
90,Uniao de Freguesias de Setubal,Partido E,45
90,Uniao de Freguesias de Setubal,Partido C,301
90,Uniao de Freguesias de Setubal,Partido G,12
90,Uniao de Freguesias de Setubal,Partido F,152
91,Uniao de Freguesias de Setubal,Partido A,120
91,Uniao de Freguesias de Setubal,Partido E,52
91,Uniao de Freguesias de Setubal,Partido C,255
91,Uniao de Freguesias de Setubal,Partido G,31
91,Uniao de Freguesias de Setubal,Partido F,151
92,Sado,Partido A,44
92,Sado,Partido F,140
92,Sado,Partido G,6
92,Sado,Partido E,8
92,Sado,Partido C,499
93,Sado,Partido A,44
93,Sado,Partido F,127
93,Sado,Partido G,6
93,Sado,Partido E,9
93,Sado,Partido C,297
94,Sado,Partido A,28
94,Sado,Partido F,80
94,Sado,Partido G,6
94,Sado,Partido E,14
94,Sado,Partido C,369
95,Sado,Partido A,17
95,Sado,Partido F,46
95,Sado,Partido G,8
95,Sado,Partido E,9
95,Sado,Partido C,180
96,Gambia Pontes e Alto da Guerra,Partido F,69
96,Gambia Pontes e Alto da Guerra,Partido G,5
96,Gambia Pontes e Alto da Guerra,Partido A,43
96,Gambia Pontes e Alto da Guerra,Partido E,12
96,Gambia Pontes e Alto da Guerra,Partido C,233
97,Gambia Pontes e Alto da Guerra,Partido F,92
97,Gambia Pontes e Alto da Guerra,Partido G,6
97,Gambia Pontes e Alto da Guerra,Partido A,47
97,Gambia Pontes e Alto da Guerra,Partido E,14
97,Gambia Pontes e Alto da Guerra,Partido C,318
98,Uniao de Freguesias de Azeitao,Partido C,109
98,Uniao de Freguesias de Azeitao,Partido G,15
98,Uniao de Freguesias de Azeitao,Partido E,49
98,Uniao de Freguesias de Azeitao,Partido A,102
98,Uniao de Freguesias de Azeitao,Partido F,43
99,Uniao de Freguesias de Azeitao,Partido C,77
99,Uniao de Freguesias de Azeitao,Partido G,6
99,Uniao de Freguesias de Azeitao,Partido E,22
99,Uniao de Freguesias de Azeitao,Partido A,46
99,Uniao de Freguesias de Azeitao,Partido F,68
100,Uniao de Freguesias de Azeitao,Partido C,59
100,Uniao de Freguesias de Azeitao,Partido G,1
100,Uniao de Freguesias de Azeitao,Partido E,6
100,Uniao de Freguesias de Azeitao,Partido A,40
100,Uniao de Freguesias de Azeitao,Partido F,50
101,Uniao de Freguesias de Azeitao,Partido C,304
101,Uniao de Freguesias de Azeitao,Partido G,5
101,Uniao de Freguesias de Azeitao,Partido E,31
101,Uniao de Freguesias de Azeitao,Partido A,55
101,Uniao de Freguesias de Azeitao,Partido F,147
102,Uniao de Freguesias de Azeitao,Partido C,241
102,Uniao de Freguesias de Azeitao,Partido G,13
102,Uniao de Freguesias de Azeitao,Partido E,38
102,Uniao de Freguesias de Azeitao,Partido A,84
102,Uniao de Freguesias de Azeitao,Partido F,88
103,Uniao de Freguesias de Azeitao,Partido C,153
103,Uniao de Freguesias de Azeitao,Partido G,10
103,Uniao de Freguesias de Azeitao,Partido E,26
103,Uniao de Freguesias de Azeitao,Partido A,54
103,Uniao de Freguesias de Azeitao,Partido F,59
