IDMesa,Freguesia,Partido,Votos Junta
86,Uniao de Freguesias de Setubal,Partido G,22
86,Uniao de Freguesias de Setubal,Partido F,102
86,Uniao de Freguesias de Setubal,Partido C,263
86,Uniao de Freguesias de Setubal,Partido E,43
87,Uniao de Freguesias de Setubal,Partido A,87
87,Uniao de Freguesias de Setubal,Partido G,7
87,Uniao de Freguesias de Setubal,Partido F,53
87,Uniao de Freguesias de Setubal,Partido C,130
87,Uniao de Freguesias de Setubal,Partido E,25
88,Uniao de Freguesias de Azeitao,Partido G,2
88,Uniao de Freguesias de Azeitao,Partido C,81
88,Uniao de Freguesias de Azeitao,Partido A,38
88,Uniao de Freguesias de Azeitao,Partido F,83
88,Uniao de Freguesias de Azeitao,Partido E,10
89,Uniao de Freguesias de Setubal,Partido A,194
89,Uniao de Freguesias de Setubal,Partido E,32
89,Uniao de Freguesias de Setubal,Partido C,238
89,Uniao de Freguesias de Setubal,Partido G,19
89,Uniao de Freguesias de Setubal,Partido F,141
90,Uniao de Freguesias de Setubal,Partido A,146
90,Uniao de Freguesias de Setubal,Partido E,40
90,Uniao de Freguesias de Setubal,Partido C,277
90,Uniao de Freguesias de Setubal,Partido G,14
90,Uniao de Freguesias de Setubal,Partido F,187
91,Uniao de Freguesias de Setubal,Partido A,129
91,Uniao de Freguesias de Setubal,Partido E,47
91,Uniao de Freguesias de Setubal,Partido C,277
91,Uniao de Freguesias de Setubal,Partido G,24
91,Uniao de Freguesias de Setubal,Partido F,170
92,Sado,Partido A,43
92,Sado,Partido F,127
92,Sado,Partido G,7
92,Sado,Partido E,7
92,Sado,Partido C,506
93,Sado,Partido A,48
93,Sado,Partido F,108
93,Sado,Partido G,2
93,Sado,Partido E,7
93,Sado,Partido C,316
94,Sado,Partido A,22
94,Sado,Partido F,61
94,Sado,Partido G,5
94,Sado,Partido E,10
94,Sado,Partido C,401
95,Sado,Partido A,13
95,Sado,Partido F,39
95,Sado,Partido G,5
95,Sado,Partido E,8
95,Sado,Partido C,195
96,Gambia Pontes e Alto da Guerra,Partido F,75
96,Gambia Pontes e Alto da Guerra,Partido G,4
96,Gambia Pontes e Alto da Guerra,Partido A,39
96,Gambia Pontes e Alto da Guerra,Partido E,6
96,Gambia Pontes e Alto da Guerra,Partido C,242
97,Gambia Pontes e Alto da Guerra,Partido F,79
97,Gambia Pontes e Alto da Guerra,Partido G,4
97,Gambia Pontes e Alto da Guerra,Partido A,40
97,Gambia Pontes e Alto da Guerra,Partido E,11
