IDMesa,Freguesia,Partido,Votos Camara
72,Uniao de Freguesias de Setubal,Partido C,214
72,Uniao de Freguesias de Setubal,Partido F,61
72,Uniao de Freguesias de Setubal,Partido G,9
72,Uniao de Freguesias de Setubal,Partido B,6
72,Uniao de Freguesias de Setubal,Partido D,0
73,Uniao de Freguesias de Setubal,Partido A,92
73,Uniao de Freguesias de Setubal,Partido E,26
73,Uniao de Freguesias de Setubal,Partido C,377
73,Uniao de Freguesias de Setubal,Partido F,164
73,Uniao de Freguesias de Setubal,Partido G,1
73,Uniao de Freguesias de Setubal,Partido B,15
73,Uniao de Freguesias de Setubal,Partido D,4
74,Uniao de Freguesias de Setubal,Partido A,114
74,Uniao de Freguesias de Setubal,Partido G,7
74,Uniao de Freguesias de Setubal,Partido F,150
74,Uniao de Freguesias de Setubal,Partido C,214
74,Uniao de Freguesias de Setubal,Partido E,25
74,Uniao de Freguesias de Setubal,Partido B,6
74,Uniao de Freguesias de Setubal,Partido D,0
75,Uniao de Freguesias de Setubal,Partido A,136
75,Uniao de Freguesias de Setubal,Partido G,5
75,Uniao de Freguesias de Setubal,Partido F,120
75,Uniao de Freguesias de Setubal,Partido C,218
75,Uniao de Freguesias de Setubal,Partido E,24
75,Uniao de Freguesias de Setubal,Partido B,6
75,Uniao de Freguesias de Setubal,Partido D,0
76,Uniao de Freguesias de Setubal,Partido A,23
76,Uniao de Freguesias de Setubal,Partido G,4
76,Uniao de Freguesias de Setubal,Partido F,24
76,Uniao de Freguesias de Setubal,Partido C,65
76,Uniao de Freguesias de Setubal,Partido E,0
76,Uniao de Freguesias de Setubal,Partido B,4
76,Uniao de Freguesias de Setubal,Partido D,0
77,Uniao de Freguesias de Setubal,Partido A,153
77,Uniao de Freguesias de Setubal,Partido G,7
77,Uniao de Freguesias de Setubal,Partido F,132
77,Uniao de Freguesias de Setubal,Partido C,272
77,Uniao de Freguesias de Setubal,Partido E,40
77,Uniao de Freguesias de Setubal,Partido B,12
77,Uniao de Freguesias de Setubal,Partido D,3
78,Uniao de Freguesias de Setubal,Partido A,78
78,Uniao de Freguesias de Setubal,Partido G,14
78,Uniao de Freguesias de Setubal,Partido F,92
78,Uniao de Freguesias de Setubal,Partido C,259
78,Uniao de Freguesias de Setubal,Partido E,29
78,Uniao de Freguesias de Setubal,Partido B,4
78,Uniao de Freguesias de Setubal,Partido D,3
79,Uniao de Freguesias de Setubal,Partido A,194
79,Uniao de Freguesias de Setubal,Partido G,5
79,Uniao de Freguesias de Setubal,Partido F,146
79,Uniao de Freguesias de Setubal,Partido C,274
